,name,cmc,legalities,reprint,set,set_type,rarity,prices
1778,Eldrazi Skyspawner,3.0,legal,False,bfz,expansion,common,0.12
1779,Eldritch Evolution,3.0,legal,False,emn,expansion,rare,7.22
1780,Electrickery,1.0,legal,False,rtr,expansion,common,0.20
1781,Electrify,4.0,legal,True,m19,core,common,0.01
1782,Electrodominance,2.0,legal,False,rna,expansion,rare,2.04
1783,Electrostatic Field,2.0,legal,False,grn,expansion,uncommon,0.94
1784,Electrostatic Pummeler,3.0,legal,False,kld,expansion,rare,0.13
1785,Elegant Edgecrafters,6.0,legal,False,kld,expansion,uncommon,0.02
1786,Elemental Bond,3.0,legal,True,c19,commander,uncommon,3.00
1787,Elemental Uprising,2.0,legal,True,jmp,draft_innovation,common,0.03
1788,"Elenda, the Dusk Rose",4.0,legal,False,rix,expansion,mythic,24.65
1789,Elfhame Druid,2.0,legal,False,dom,expansion,uncommon,0.06
1790,Eliminate the Competition,5.0,legal,False,kld,expansion,rare,0.12
1791,Elite Arcanist,4.0,legal,False,m14,core,rare,0.37
1792,Elite Arrester,1.0,legal,False,rna,expansion,common,0.18
1793,Elite Guardmage,4.0,legal,False,war,expansion,uncommon,0.24
1794,Elite Headhunter,4.0,legal,False,eld,expansion,uncommon,0.01
1795,Elite Instructor,3.0,legal,False,thb,expansion,common,0.04
1796,Elite Scaleguard,5.0,legal,True,mic,commander,uncommon,0.04
1797,Elite Skirmisher,3.0,legal,False,bng,expansion,common,0.03
1798,Elixir of Immortality,1.0,legal,True,c21,commander,uncommon,0.66
1799,Elspeth Conquers Death,5.0,legal,False,thb,expansion,rare,0.24
1800,Elspeth's Devotee,4.0,legal,False,thb,expansion,rare,0.11
1801,Elspeth's Nightmare,3.0,legal,False,thb,expansion,uncommon,0.15
1802,"Elspeth, Sun's Champion",6.0,legal,True,ddo,duel_deck,mythic,
1803,"Elspeth, Sun's Nemesis",4.0,legal,False,thb,expansion,mythic,1.32
1804,"Elspeth, Undaunted Hero",5.0,legal,False,thb,expansion,mythic,0.78
1805,Elusive Krasis,3.0,legal,False,gtc,expansion,uncommon,0.12
1806,Elusive Spellfist,2.0,legal,True,ima,masters,common,0.08
1807,Elusive Tormentor // Insidious Mist,4.0,legal,False,soi,expansion,rare,0.21
1808,Elvish Clancaller,2.0,legal,False,m19,core,rare,2.07
1809,Elvish Mystic,1.0,legal,True,khc,commander,common,0.55
1810,Elvish Reclaimer,1.0,legal,False,m20,core,rare,8.32
1811,Elvish Rejuvenator,3.0,legal,True,khc,commander,common,0.10
1812,Elvish Visionary,2.0,legal,True,cmr,draft_innovation,common,0.06
1813,Embalmer's Tools,2.0,legal,False,akh,expansion,uncommon,0.20
1814,Ember Beast,3.0,legal,True,bbd,draft_innovation,common,0.01
1815,Ember Hauler,2.0,legal,True,m20,core,uncommon,0.03
1816,Ember Swallower,4.0,legal,False,ths,expansion,rare,0.14
1817,Ember-Eye Wolf,2.0,legal,False,soi,expansion,common,0.07
1818,Embercleave,6.0,legal,False,eld,expansion,mythic,5.21
1819,Embereth Paladin,4.0,legal,False,eld,expansion,common,0.01
1820,Embereth Shieldbreaker // Battle Display,2.0,legal,False,eld,expansion,uncommon,0.13
1821,Embereth Skyblazer,4.0,legal,False,eld,expansion,rare,0.16
1822,Emberhorn Minotaur,4.0,legal,False,akh,expansion,common,0.01
1823,Embermaw Hellion,5.0,legal,False,ori,core,rare,0.31
1824,Embodiment of Agonies,3.0,legal,False,m20,core,rare,0.30
1825,Embodiment of Fury,4.0,legal,False,ogw,expansion,uncommon,0.12
1826,Embodiment of Insight,5.0,legal,True,znc,commander,uncommon,0.10
1827,Embodiment of Spring,1.0,legal,False,ktk,expansion,common,0.12
1828,Embraal Bruiser,2.0,legal,False,kld,expansion,uncommon,0.04
1829,Embraal Gear-Smasher,3.0,legal,False,aer,expansion,common,0.05
1830,Emergence Zone,0.0,legal,False,war,expansion,uncommon,0.88
1831,Emergency Powers,7.0,legal,False,rna,expansion,mythic,0.80
1832,Emergent Growth,4.0,legal,False,xln,expansion,uncommon,0.03
1833,Emeria Shepherd,7.0,legal,True,znc,commander,rare,0.47
1834,Emissary of Sunrise,3.0,legal,False,xln,expansion,uncommon,0.06
1835,Emissary of the Sleepless,5.0,legal,False,soi,expansion,common,0.02
1836,Emmara Tandris,7.0,legal,True,c19,commander,rare,0.17
1837,"Emmara, Soul of the Accord",2.0,legal,False,grn,expansion,rare,0.26
1838,Emperor's Vanguard,4.0,legal,False,xln,expansion,rare,0.11
1839,Empty the Pits,4.0,legal,False,ktk,expansion,mythic,0.78
1840,Empyreal Voyager,3.0,legal,False,kld,expansion,uncommon,0.05
1841,Empyrean Eagle,3.0,legal,True,khc,commander,uncommon,0.34
1842,Emrakul's Evangel,3.0,legal,False,emn,expansion,rare,0.29
1843,Emrakul's Influence,4.0,legal,False,emn,expansion,uncommon,0.11
1844,"Emrakul, the Promised End",13.0,legal,False,emn,expansion,mythic,39.63
1845,"Emry, Lurker of the Loch",3.0,legal,True,nec,commander,rare,1.62
1846,Encampment Keeper,1.0,legal,False,xln,expansion,common,0.02
1847,Encase in Ice,2.0,legal,False,dtk,expansion,uncommon,0.05
1848,Enchanted Carriage,5.0,legal,False,eld,expansion,uncommon,0.09
1849,Encircling Fissure,3.0,legal,False,bfz,expansion,uncommon,0.05
1850,Encroaching Wastes,0.0,legal,True,cmr,draft_innovation,uncommon,0.05
1851,Encrust,3.0,legal,True,m15,core,common,0.02
1852,End Hostilities,5.0,legal,False,ktk,expansion,rare,0.30
1853,End-Raze Forerunners,8.0,legal,True,khc,commander,rare,0.66
1854,Endbringer,6.0,legal,False,ogw,expansion,rare,0.93
1855,Endless Obedience,6.0,legal,True,znc,commander,uncommon,0.07
1856,Endless One,0.0,legal,False,bfz,expansion,rare,0.75
1857,Endless Sands,0.0,legal,True,c20,commander,rare,0.19
1858,Enduring Scalelord,6.0,legal,True,mic,commander,uncommon,0.08
1859,Enduring Victory,5.0,legal,False,dtk,expansion,common,0.02
1860,Enemy of Enlightenment,6.0,legal,False,thb,expansion,uncommon,0.01
1861,Enforcer Griffin,5.0,legal,False,war,expansion,common,0.02
1862,Engineered Might,5.0,legal,False,kld,expansion,uncommon,0.03
1863,Engulf the Shore,4.0,legal,True,gn2,box,rare,0.57
1864,Engulfing Eruption,4.0,legal,False,m20,core,common,0.20
1865,Enhanced Awareness,5.0,legal,False,frf,expansion,common,0.03
1866,Enhanced Surveillance,2.0,legal,False,grn,expansion,uncommon,0.11
1867,Enigma Drake,3.0,legal,True,m19,core,uncommon,0.09
1868,Enigmatic Incarnation,4.0,legal,False,thb,expansion,rare,0.13
1869,Enlarge,5.0,legal,True,2xm,masters,uncommon,0.02
1870,Enlightened Ascetic,2.0,legal,False,ori,core,common,0.12
1871,Enlightened Maniac,4.0,legal,False,emn,expansion,common,0.06
1872,Enraged Ceratok,4.0,legal,False,rna,expansion,uncommon,0.03
1873,Enraged Giant,6.0,legal,False,aer,expansion,uncommon,0.07
1874,Enshrouding Mist,1.0,legal,False,ori,core,common,0.01
1875,Ensoul Artifact,2.0,legal,False,m15,core,uncommon,0.38
1876,Enter the God-Eternals,5.0,legal,False,war,expansion,rare,0.25
1877,Enter the Infinite,12.0,legal,False,gtc,expansion,mythic,4.46
1878,Enter the Unknown,1.0,legal,False,rix,expansion,uncommon,0.21
1879,Breaking // Entering,8.0,legal,False,dgm,expansion,rare,0.24
1880,Enthralling Victor,4.0,legal,True,bbd,draft_innovation,uncommon,0.07
1881,Entrancing Lyre,3.0,legal,False,thb,expansion,uncommon,0.02
1882,Entrancing Melody,2.0,legal,False,xln,expansion,rare,0.19
1883,Ephara's Enlightenment,3.0,legal,False,bng,expansion,uncommon,0.10
1884,Ephara's Radiance,1.0,legal,False,bng,expansion,common,0.02
1885,Ephara's Warden,4.0,legal,False,ths,expansion,common,0.03
1886,"Ephara, God of the Polis",4.0,legal,False,bng,expansion,mythic,4.26
1887,Ephemeral Shields,2.0,legal,False,m15,core,common,0.11
1888,Epic Confrontation,2.0,legal,True,a25,masters,common,0.12
1889,Epic Downfall,2.0,legal,False,eld,expansion,uncommon,0.10
1890,Epic Experiment,2.0,legal,True,c21,commander,mythic,0.31
1891,Epicure of Blood,5.0,legal,True,c21,commander,common,0.10
1892,Epiphany Storm,1.0,legal,False,bng,expansion,common,0.03
1893,Epiphany at the Drownyard,1.0,legal,False,soi,expansion,rare,0.59
1894,Epitaph Golem,5.0,legal,True,m21,core,uncommon,0.04
1895,Equestrian Skill,4.0,legal,False,soi,expansion,common,0.03
1896,Era of Innovation,2.0,legal,False,kld,expansion,uncommon,0.06
1897,Erase,1.0,legal,True,ktk,expansion,common,0.05
1898,Erdwal Illuminator,2.0,legal,False,soi,expansion,uncommon,0.15
1899,Erebos's Emissary,4.0,legal,False,ths,expansion,uncommon,0.06
1900,Erebos's Intervention,1.0,legal,False,thb,expansion,rare,0.26
1901,Erebos's Titan,4.0,legal,False,ori,core,mythic,0.47
1902,"Erebos, Bleak-Hearted",4.0,legal,False,thb,expansion,mythic,2.13
1903,"Erebos, God of the Dead",4.0,legal,False,ths,expansion,mythic,11.13
1904,Erratic Cyclops,4.0,legal,True,c21,commander,rare,0.07
1905,Erratic Visionary,2.0,legal,True,jmp,draft_innovation,common,0.01
1906,Erstwhile Trooper,3.0,legal,False,grn,expansion,common,0.01
1907,Smoldering Werewolf // Erupting Dreadwolf,4.0,legal,False,emn,expansion,uncommon,0.19
1908,Escape Velocity,1.0,legal,False,thb,expansion,uncommon,0.02
1909,Escape to the Wilds,5.0,legal,False,eld,expansion,rare,0.53
1910,Essence Backlash,4.0,legal,False,rtr,expansion,common,0.05
1911,Essence Capture,2.0,legal,True,neo,expansion,uncommon,0.19
1912,Essence Depleter,3.0,legal,False,ogw,expansion,uncommon,0.10
1913,Essence Extraction,3.0,legal,False,kld,expansion,uncommon,0.06
1914,Essence Flux,1.0,legal,True,jmp,draft_innovation,uncommon,0.69
1915,Essence Scatter,2.0,legal,True,iko,expansion,common,0.04
1916,"Etali, Primal Storm",6.0,legal,True,afc,commander,rare,0.50
1917,Eternal Isolation,2.0,legal,False,m20,core,uncommon,0.02
1918,Eternal Scourge,3.0,legal,False,emn,expansion,rare,1.41
1919,Eternal Skylord,5.0,legal,True,mic,commander,uncommon,0.10
1920,Eternal Taskmaster,2.0,legal,True,jmp,draft_innovation,uncommon,0.04
1921,Eternal Thirst,2.0,legal,True,jmp,draft_innovation,common,0.16
1922,Eternal of Harsh Truths,3.0,legal,False,hou,expansion,uncommon,0.11
1923,Eternity Snare,6.0,legal,True,bng,expansion,uncommon,0.03
1924,Ethereal Absolution,6.0,legal,False,rna,expansion,rare,0.46
1925,Ethereal Ambush,5.0,legal,False,frf,expansion,common,0.05
1926,Ethereal Armor,1.0,legal,False,rtr,expansion,common,0.39
1927,Ethereal Elk,5.0,legal,False,m20,core,rare,0.21
1928,Ethereal Guidance,3.0,legal,False,soi,expansion,common,0.03
1929,"Etrata, the Silencer",4.0,legal,False,grn,expansion,rare,0.51
1930,Eutropia the Twice-Favored,3.0,legal,False,thb,expansion,uncommon,0.06
1931,Evanescent Intellect,1.0,legal,False,bng,expansion,common,0.04
1932,Evangel of Heliod,6.0,legal,True,khc,commander,uncommon,0.10
1933,Ever After,6.0,legal,True,c20,commander,rare,0.21
1934,Everdawn Champion,3.0,legal,True,gnt,box,uncommon,0.23
1935,Everflame Eidolon,2.0,legal,False,bng,expansion,uncommon,0.05
1936,Eviscerate,4.0,legal,False,dom,expansion,common,0.02
1937,Evolution Sage,3.0,legal,True,znc,commander,uncommon,1.83
1938,Evolutionary Leap,2.0,legal,False,ori,core,rare,0.75
1939,Evolving Wilds,0.0,legal,True,vow,expansion,common,0.10
1940,"Evra, Halcyon Witness",6.0,legal,False,dom,expansion,rare,0.18
1941,"Exava, Rakdos Blood Witch",4.0,legal,False,dgm,expansion,rare,0.27
1942,Excavation Elephant,5.0,legal,False,dom,expansion,common,0.01
1943,Exclusion Mage,3.0,legal,True,jmp,draft_innovation,uncommon,0.14
1944,Excoriate,4.0,legal,True,e01,archenemy,common,0.08
1945,Executioner's Swing,2.0,legal,False,gtc,expansion,common,0.04
1946,Exemplar of Strength,2.0,legal,False,akh,expansion,uncommon,0.08
1947,Exert Influence,5.0,legal,False,bfz,expansion,rare,0.10
1948,Expansion // Explosion,6.0,legal,False,grn,expansion,rare,1.69
1949,Expedite,1.0,legal,True,cmr,draft_innovation,common,0.15
1950,Expedition Envoy,1.0,legal,False,bfz,expansion,uncommon,0.09
1951,Expedition Raptor,5.0,legal,True,bbd,draft_innovation,common,0.01
1952,Expel from Orazca,2.0,legal,False,rix,expansion,uncommon,0.27
1953,Experiment One,1.0,legal,True,c15,commander,uncommon,0.46
1954,Experimental Aviator,5.0,legal,False,kld,expansion,uncommon,0.10
1955,Experimental Frenzy,4.0,legal,False,grn,expansion,rare,0.20
1956,Expansion // Explosion,6.0,legal,False,grn,expansion,rare,1.69
1957,Explosive Apparatus,1.0,legal,True,m19,core,common,0.01
1958,Explosive Impact,6.0,legal,False,rtr,expansion,common,0.02
1959,Explosive Vegetation,4.0,legal,True,c18,commander,uncommon,1.50
1960,Expose Evil,2.0,legal,False,soi,expansion,common,0.05
1961,Expose to Daylight,3.0,legal,False,rna,expansion,common,0.05
1962,Exquisite Archangel,7.0,legal,False,aer,expansion,mythic,2.80
1963,Exquisite Firecraft,3.0,legal,False,ori,core,rare,0.42
1964,Extinguish All Hope,6.0,legal,False,jou,expansion,rare,0.40
1965,Extricator of Sin // Extricator of Flesh,3.0,legal,False,emn,expansion,uncommon,0.12
1966,Extricator of Sin // Extricator of Flesh,3.0,legal,False,emn,expansion,uncommon,0.12
1967,Exultant Cultist,3.0,legal,False,emn,expansion,common,0.03
1968,Exultant Skymarcher,3.0,legal,False,rix,expansion,common,0.02
1969,Eye Collector,1.0,legal,False,eld,expansion,common,0.01
1970,Eye Gouge,1.0,legal,False,bng,expansion,common,0.01
1971,Eyeblight Assassin,3.0,legal,True,cmr,draft_innovation,common,0.01
1972,Eyeblight Massacre,4.0,legal,True,khc,commander,uncommon,0.05
1973,Eyeless Watcher,4.0,legal,False,bfz,expansion,common,0.08
1974,Eyes Everywhere,3.0,legal,False,rna,expansion,uncommon,0.11
1975,Eyes in the Skies,4.0,legal,True,mm3,masters,common,0.06
1976,Fabled Hero,3.0,legal,False,ths,expansion,rare,0.27
1977,Fabled Passage,0.0,legal,True,m21,core,rare,4.75
1978,Fabrication Module,3.0,legal,False,kld,expansion,uncommon,0.09
1979,Fade into Antiquity,3.0,legal,True,neo,expansion,common,0.16
1980,Fae of Wishes // Granted,2.0,legal,False,eld,expansion,rare,0.11
1981,Faeburrow Elder,3.0,legal,False,eld,expansion,rare,2.53
1982,Faerie Duelist,2.0,legal,False,rna,expansion,common,0.06
1983,Faerie Formation,5.0,legal,False,eld,expansion,rare,0.82
1984,Faerie Guidemother // Gift of the Fae,1.0,legal,False,eld,expansion,common,0.04
1985,Faerie Impostor,1.0,legal,True,ddn,duel_deck,uncommon,0.14
1986,Faerie Miscreant,1.0,legal,True,m20,core,common,0.19
1987,Faerie Vandal,2.0,legal,True,znc,commander,uncommon,0.08
1988,Failed Inspection,4.0,legal,False,kld,expansion,common,0.03
1989,Failure // Comply,3.0,legal,False,akh,expansion,rare,0.16
1990,Fairgrounds Trumpeter,3.0,legal,False,kld,expansion,uncommon,0.04
1991,Fairgrounds Warden,3.0,legal,False,kld,expansion,uncommon,0.10
1992,Faith Unbroken,4.0,legal,True,cmr,draft_innovation,uncommon,0.05
1993,Faith of the Devoted,3.0,legal,True,c19,commander,uncommon,0.10
1994,Faithbearer Paladin,5.0,legal,False,emn,expansion,common,0.03
1995,Falkenrath Gorger,1.0,legal,True,voc,commander,rare,0.13
1996,Falkenrath Reaver,2.0,legal,True,w17,starter,common,0.09
1997,Fall of the Gavel,5.0,legal,False,rtr,expansion,uncommon,0.06
1998,Fall of the Hammer,2.0,legal,True,cm2,commander,common,0.20
1999,Fall of the Thran,6.0,legal,False,dom,expansion,rare,0.20
2000,Fall of the Titans,1.0,legal,False,ogw,expansion,rare,0.22
2001,Claim // Fame,3.0,legal,False,hou,expansion,uncommon,0.24
2002,Famished Paladin,2.0,legal,False,rix,expansion,uncommon,0.22
2003,Fan Bearer,1.0,legal,True,gnt,box,common,0.10
2004,Fanatic of Mogis,4.0,legal,False,ths,expansion,uncommon,0.25
2005,Fanatic of Xenagos,3.0,legal,False,bng,expansion,uncommon,0.07
2006,Fanatical Firebrand,1.0,legal,True,jmp,draft_innovation,common,0.14
2007,Far // Away,5.0,legal,False,dgm,expansion,uncommon,0.24
2008,Farbog Revenant,3.0,legal,False,soi,expansion,common,0.04
2009,Farm // Market,6.0,legal,True,c19,commander,uncommon,0.01
2010,Fascination,2.0,legal,False,frf,expansion,uncommon,0.22
2011,Fatal Fumes,4.0,legal,False,dgm,expansion,common,0.01
2012,Fatal Push,1.0,legal,True,2xm,masters,uncommon,2.01
2013,Fate Foretold,2.0,legal,False,ths,expansion,common,0.05
2014,Fate Forgotten,3.0,legal,False,dtk,expansion,common,0.08
2015,Fate Unraveler,4.0,legal,True,c15,commander,rare,0.73
2016,Fated Conflagration,4.0,legal,False,bng,expansion,rare,0.08
2017,Fated Infatuation,3.0,legal,False,bng,expansion,rare,0.48
2018,Fated Intervention,5.0,legal,False,bng,expansion,rare,0.09
2019,Fated Retribution,7.0,legal,False,bng,expansion,rare,0.28
2020,Fated Return,7.0,legal,True,znc,commander,rare,0.11
2021,Fateful End,3.0,legal,False,thb,expansion,uncommon,0.01
2022,Fateful Showdown,4.0,legal,False,kld,expansion,rare,0.22
2023,Fathom Feeder,2.0,legal,False,bfz,expansion,rare,0.25
2024,Fathom Fleet Boarder,3.0,legal,False,rix,expansion,common,0.01
2025,Fathom Fleet Captain,2.0,legal,False,xln,expansion,rare,0.41
2026,Fathom Fleet Cutthroat,4.0,legal,True,m20,core,common,0.01
2027,Fathom Fleet Firebrand,2.0,legal,False,xln,expansion,common,0.04
2028,Fathom Mage,4.0,legal,True,cmr,draft_innovation,rare,0.10
2029,Favorable Winds,2.0,legal,True,gnt,box,uncommon,1.88
2030,Favored Hoplite,1.0,legal,False,ths,expansion,uncommon,0.22
2031,Favored of Iroas,3.0,legal,False,thb,expansion,uncommon,0.02
2032,"Fblthp, the Lost",2.0,legal,False,war,expansion,rare,0.39
2033,Fearless Halberdier,3.0,legal,True,m20,core,common,0.08
2034,Fearsome Awakening,5.0,legal,False,frf,expansion,uncommon,0.25
2035,Fearsome Temper,3.0,legal,False,bng,expansion,common,0.03
2036,Feast of Dreams,2.0,legal,False,jou,expansion,common,0.04
2037,Feast on the Fallen,3.0,legal,False,m15,core,uncommon,0.24
2038,Feasting Troll King,6.0,legal,False,eld,expansion,rare,0.30
2039,Feat of Resistance,2.0,legal,True,m21,core,common,0.03
2040,"Feather, the Redeemed",3.0,legal,False,war,expansion,rare,0.65
2041,Mouth // Feed,7.0,legal,False,akh,expansion,rare,0.25
2042,Feed the Clan,2.0,legal,False,ktk,expansion,common,0.12
2043,Felhide Brawler,2.0,legal,False,bng,expansion,common,0.03
2044,Felhide Minotaur,3.0,legal,False,ths,expansion,common,0.03
2045,Felhide Petrifier,3.0,legal,False,jou,expansion,uncommon,0.19
2046,Felhide Spiritbinder,4.0,legal,False,bng,expansion,rare,0.20
2047,Felidar Cub,2.0,legal,False,bfz,expansion,common,0.13
2048,Felidar Sovereign,6.0,legal,True,bfz,expansion,rare,1.72
2049,Fell Flagship,3.0,legal,False,xln,expansion,rare,0.33
2050,Fell Specter,4.0,legal,True,jmp,draft_innovation,uncommon,0.27
2051,Fell the Pheasant,2.0,legal,False,eld,expansion,common,0.01
2052,Fen Hauler,7.0,legal,False,aer,expansion,common,0.03
2053,Fencing Ace,2.0,legal,True,cmr,draft_innovation,uncommon,0.01
2054,Feral Abomination,6.0,legal,True,m20,core,common,0.01
2055,Feral Animist,3.0,legal,True,dgm,expansion,uncommon,0.07
2056,Feral Incarnation,9.0,legal,False,m15,core,uncommon,0.08
2057,Feral Invocation,3.0,legal,True,jmp,draft_innovation,common,0.01
2058,Feral Krushok,5.0,legal,False,frf,expansion,common,0.02
2059,Feral Maaka,2.0,legal,False,rna,expansion,common,0.01
2060,Feral Prowler,2.0,legal,True,jmp,draft_innovation,common,0.10
2061,Ferocious Pup,3.0,legal,False,m20,core,common,0.05
2062,Ferocity of the Wilds,3.0,legal,False,eld,expansion,uncommon,0.09
2063,Beanstalk Giant // Fertile Footsteps,7.0,legal,True,znc,commander,uncommon,0.15
2064,Fertile Thicket,0.0,legal,True,ddr,duel_deck,common,0.12
2065,Fervent Champion,1.0,legal,False,eld,expansion,rare,0.25
2066,Fervent Paincaster,3.0,legal,False,hou,expansion,uncommon,0.02
2067,Fervent Strike,1.0,legal,False,dom,expansion,common,0.01
2068,Festergloom,3.0,legal,True,cn2,draft_innovation,common,0.04
2069,Festering Mummy,1.0,legal,False,akh,expansion,common,0.23
2070,Festering Newt,1.0,legal,True,jmp,draft_innovation,common,0.06
2071,Festive Funeral,5.0,legal,False,eld,expansion,common,0.01
2072,Fetid Imp,2.0,legal,True,m21,core,common,0.02
2073,Fetid Pools,0.0,legal,False,akh,expansion,rare,4.18
2074,Fevered Visions,3.0,legal,False,soi,expansion,rare,1.00
2075,Tangleclaw Werewolf // Fibrous Entangler,4.0,legal,False,emn,expansion,uncommon,0.17
2076,Field Creeper,2.0,legal,True,m19,core,common,0.05
2077,Field of Ruin,0.0,legal,True,mid,expansion,uncommon,0.27
2078,Fiend Binder,4.0,legal,True,gn2,box,common,0.10
2079,Fiendslayer Paladin,3.0,legal,True,e01,archenemy,rare,1.31
2080,Fierce Invocation,5.0,legal,False,frf,expansion,common,0.01
2081,Fierce Witchstalker,4.0,legal,False,eld,expansion,common,0.02
2082,Fiery Cannonade,3.0,legal,True,cmr,draft_innovation,common,0.12
2083,Fiery Conclusion,2.0,legal,True,pca,planechase,common,0.07
2084,Fiery Finish,6.0,legal,False,m19,core,uncommon,0.01
2085,Fiery Hellhound,3.0,legal,True,ori,core,common,0.26
2086,Fiery Impulse,1.0,legal,False,ori,core,common,0.15
2087,Fiery Intervention,5.0,legal,False,dom,expansion,common,0.02
2088,Fiery Temper,3.0,legal,True,c19,commander,common,0.09
2089,Prepare // Fight,6.0,legal,False,akh,expansion,rare,0.14
2090,Fight with Fire,3.0,legal,False,dom,expansion,uncommon,0.08
2091,Filigree Crawler,4.0,legal,False,aer,expansion,common,0.02
2092,Filigree Familiar,3.0,legal,True,cmr,draft_innovation,common,0.01
2093,Final Death,5.0,legal,False,thb,expansion,common,0.01
2094,Final Flare,3.0,legal,False,thb,expansion,common,0.02
2095,Docent of Perfection // Final Iteration,5.0,legal,False,emn,expansion,rare,2.55
2096,Final Parting,5.0,legal,False,dom,expansion,uncommon,1.17
2097,Final Payment,2.0,legal,False,rna,expansion,common,0.08
2098,Final Reward,5.0,legal,False,akh,expansion,common,0.03
2099,Finale of Devastation,2.0,legal,False,war,expansion,mythic,32.71
2100,Finale of Eternity,2.0,legal,False,war,expansion,mythic,1.72
2101,Finale of Glory,2.0,legal,False,war,expansion,mythic,2.40
2102,Finale of Promise,2.0,legal,False,war,expansion,mythic,2.83
2103,Finale of Revelation,2.0,legal,False,war,expansion,mythic,4.89
2104,Find // Finality,8.0,legal,True,c20,commander,rare,0.16
2105,Find // Finality,8.0,legal,True,c20,commander,rare,0.16
2106,Start // Finish,6.0,legal,False,akh,expansion,uncommon,0.10
2107,Fire Elemental,5.0,legal,True,m20,core,common,0.01
2108,Fire Shrine Keeper,1.0,legal,False,xln,expansion,common,0.03
2109,Fire Urchin,2.0,legal,False,grn,expansion,common,0.01
2110,Fireblade Artist,2.0,legal,False,rna,expansion,uncommon,0.10
2111,Fireborn Knight,4.0,legal,False,eld,expansion,uncommon,0.05
2112,Firebrand Archer,2.0,legal,False,hou,expansion,common,0.29
2113,Firecannon Blast,3.0,legal,False,xln,expansion,common,0.03
2114,Firedrinker Satyr,1.0,legal,False,ths,expansion,rare,0.17
2115,Firefiend Elemental,4.0,legal,False,ori,core,common,0.02
2116,Firefist Adept,5.0,legal,False,dom,expansion,uncommon,0.05
2117,Firefist Striker,2.0,legal,False,gtc,expansion,uncommon,0.05
2118,Fireforger's Puzzleknot,2.0,legal,False,kld,expansion,common,0.01
2119,Firehoof Cavalry,1.0,legal,False,ktk,expansion,common,0.01
2120,Firemane Avenger,4.0,legal,False,gtc,expansion,rare,0.25
2121,Firemantle Mage,3.0,legal,False,bfz,expansion,uncommon,0.06
2122,Firemind Vessel,4.0,legal,False,war,expansion,uncommon,0.46
2123,Firemind's Foresight,7.0,legal,True,dds,duel_deck,rare,0.17
2124,Firemind's Research,2.0,legal,False,grn,expansion,rare,0.19
2125,Fires of Invention,4.0,legal,False,eld,expansion,rare,0.15
2126,Fireshrieker,3.0,legal,True,nec,commander,uncommon,0.24
2127,Firesong and Sunspeaker,6.0,legal,True,pz2,treasure_chest,rare,
2128,First Response,4.0,legal,True,cmr,draft_innovation,uncommon,0.01
2129,Five-Alarm Fire,3.0,legal,False,gtc,expansion,rare,0.16
2130,Flame Lash,4.0,legal,True,jmp,draft_innovation,common,0.05
2131,Flame Sweep,3.0,legal,False,m20,core,uncommon,0.15
2132,Flame-Wreathed Phoenix,4.0,legal,False,bng,expansion,mythic,0.26
2133,Flameblade Adept,1.0,legal,False,akh,expansion,uncommon,0.26
2134,Flameblade Angel,6.0,legal,False,soi,expansion,rare,0.20
2135,Flamecast Wheel,1.0,legal,False,ths,expansion,uncommon,0.02
2136,Kessig Forgemaster // Flameheart Werewolf,2.0,legal,False,soi,expansion,uncommon,0.24
2137,Flamerush Rider,5.0,legal,True,c19,commander,rare,0.11
2138,Flames of the Firebrand,3.0,legal,True,jmp,draft_innovation,uncommon,0.07
2139,Flames of the Raze-Boar,6.0,legal,True,jmp,draft_innovation,uncommon,0.08
2140,Flameshadow Conjuring,4.0,legal,False,ori,core,rare,2.59
2141,Flamespeaker Adept,3.0,legal,False,ths,expansion,uncommon,0.02
2142,Flamespeaker's Will,1.0,legal,False,jou,expansion,common,0.07
2143,Flamewake Phoenix,3.0,legal,False,frf,expansion,rare,0.39
2144,Flatten,4.0,legal,False,dtk,expansion,common,0.03
2145,Flaxen Intruder // Welcome Home,1.0,legal,False,eld,expansion,uncommon,0.08
2146,Flayer Drone,3.0,legal,False,ogw,expansion,uncommon,0.14
2147,Flaying Tendrils,3.0,legal,False,ogw,expansion,uncommon,0.08
2148,Fleecemane Lion,2.0,legal,True,afc,commander,rare,0.21
2149,Fleet Swallower,7.0,legal,False,xln,expansion,rare,1.28
2150,Fleetfeather Cockatrice,5.0,legal,False,jou,expansion,uncommon,0.10
2151,Fleetfeather Sandals,2.0,legal,False,ths,expansion,common,0.16
2152,Fleeting Memories,3.0,legal,False,soi,expansion,uncommon,0.12
2153,Fleetwheel Cruiser,4.0,legal,False,kld,expansion,rare,0.27
2154,Flesh // Blood,7.0,legal,False,dgm,expansion,rare,0.18
2155,Flesh to Dust,5.0,legal,True,ori,core,common,0.16
2156,Fleshbag Marauder,3.0,legal,True,mic,commander,uncommon,0.14
2157,Fleshmad Steed,2.0,legal,False,ths,expansion,common,0.01
2158,Fleshpulper Giant,7.0,legal,False,m14,core,uncommon,0.05
2159,Flicker of Fate,2.0,legal,False,thb,expansion,common,0.07
2160,Flight of Equenauts,8.0,legal,False,grn,expansion,uncommon,0.05
2161,Fling,2.0,legal,True,jmp,draft_innovation,common,0.07
2162,Flitterstep Eidolon,2.0,legal,False,bng,expansion,uncommon,0.11
2163,Flood of Recollection,2.0,legal,True,cmr,draft_innovation,common,0.04
